tweet,class
 rt mayasolov woman shouldnt complain clean hous amp man alway take trash,1
 rt  boy dat coldtyga dwn bad cuffin dat hoe place,0
 rt urkindofbrand dawg rt  ever fuck bitch start cri confus shit,0
 rt cganderson vivabas look like tranni,0
 rt shenikarobert shit hear might true might faker bitch told ya ,0
tmadisonx shit blow meclaim faith somebodi still fuck hoe ,0
brighterday sit hate anoth bitch  got much shit go,0
 caus im tire big bitch come us skinni ,0
 amp might get ya bitch back amp that ,0
 rhythmixx hobbi includ fight mariambitch,0
 keek bitch curv everyon  lol walk convers like smh,0
 murda gang bitch gang land ,0
 hoe smoke loser   yea  go ig,0
 bad bitch thing like ,0
 bitch get ,0
 bitch nigga miss ,0
 bitch plz whatev ,0
 bitch love ,0
 bitch get cut everyday b ,0
 black bottl amp bad bitch ,0
 broke bitch cant tell noth ,0
 cancel bitch like nino ,0
 cant see hoe wont chang ,0
 fuck bitch dont even suck dick   kermit video bout fuck ig,0
 got ya bitch tip toe hardwood floor   ,0
 pussi lip like heaven door  ,0
 hoe hit ,0
 met pussi ocean dr  gave pussi pill  ,0
 need trippi bitch fuck hennessi ,0
 spend money want bitch busi ,0
 txt old bitch new bitch pussi wetter ,0
 id say im back old old bitch would get excit  ,0
 aint bout murder game pussi nigga shut ,0
 your toe aint done pussi stink ,0
 im done bitter bitch wrap  angri bird there app ,0
 ya bitch ,0
 aint noth cut bitch ,0
 jus meet son ya mane ass bitch  shot,0
 lame cri hoe that tear clown ,0
 like snoop said  dont love hoe ,0
 momma said pussi cat insid doghous ,1
 hate hoe favorit   sevenon  ,0
 nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick ,0
 pimp pimp hoe  futur voic,0
 post pictur pussi get  like ,0
 pussi power drug   happyhumpday ,0
 quick piec pussi call drive ,0
 run round like brand new pussi that bout get fuck ,0
 bitch even worst theyll send guy ,0
 hoe like nigga spend money talk bout ,0
 dont trust nigga bitch ,0
 yall nigga b cuf hoe caus yall aint never bitch ,0
 dodg bullet    da bitch cut pregnant bound thank god ,0
 young pill chamberlain bitch love music ,0
 teanna trump probabl cleaner twitter hoe,0
 gay nigga couldnt wait act like bitch tonight,0
 ima steal cat n replac pitbul  rt  theparadox bitch,0
amp hes gone alway hoe,0
son bitch took tic tacsi like movi,0
wanna get money fuck model bitch  russel simmon,0
